+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|         Feature         |   Estimator   |     Accuracy     |   Precision    |     Recall     |       F1       |      AUC       |                                        Accuracy_best                                         |                                        Precision_best                                        |                                         Recall_best                                          |                                           F1_best                                            |                                           AUC_best                                           |
+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|          multi          |     linear    |  0.422044981447  |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|          multi          |      knn      |  0.720538720539  | 0.720538720539 | 0.720538720539 | 0.720538720539 | 0.720538720539 | {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |
|          multi          |    logistic   |  0.841750841751  | 0.841750841751 | 0.841750841751 | 0.841750841751 | 0.841750841751 |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |
|          multi          |    gaussian   |  0.845117845118  | 0.845117845118 | 0.845117845118 | 0.845117845118 | 0.845117845118 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
|          multi          |      svc      |  0.811447811448  | 0.811447811448 | 0.811447811448 | 0.811447811448 | 0.811447811448 |       {'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}       |       {'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}       |       {'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}       |       {'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}       |       {'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}       |
|          multi          | decision_tree |  0.818181818182  | 0.818181818182 | 0.818181818182 | 0.818181818182 | 0.818181818182 |               {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}                |               {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}                |               {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}                |               {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}                |               {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}                |
|          multi          | random_forest |  0.858585858586  | 0.858585858586 | 0.858585858586 | 0.858585858586 | 0.858585858586 |      {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}      |      {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}      |      {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}      |      {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}      |      {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}      |
|           age           |     linear    | 0.0726505623955  |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': False}                                     |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|           age           |      knn      |  0.632996632997  | 0.632996632997 | 0.632996632997 | 0.632996632997 | 0.632996632997 | {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1} |
