Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
all,linear,0,0,0.4774568282473922,{'normalize': False},0,0,0,0,0,0
all,knn,0,0,0.8378160919540228,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
all,logistic,0,0,0.8282758620689655,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
all,gaussian,0,0,0.8450574712643679,{},0,0,0,0,0,0
all,svc,0,0,0.8280459770114943,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
all,decision_tree,0,0,0.7610344827586207,"{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 20}",0,0,0,0,0,0
all,random_forest,0,0,0.7979310344827587,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': False, 'max_depth': 30}",0,0,0,0,0,0
age : chest_pain : resting_bp,linear,0,0,0.17503964268713937,{'normalize': False},0,0,0,0,0,0
age : chest_pain : resting_bp,knn,0,0,0.713448275862069,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : chest_pain : resting_bp,logistic,0,0,0.7039080459770115,"{'penalty': 'l2', 'solver': 'liblinear'}",0,0,0,0,0,0
age : chest_pain : resting_bp,gaussian,0,0,0.6967816091954023,{},0,0,0,0,0,0
age : chest_pain : resting_bp,svc,0,0,0.7506896551724138,"{'C': 1000, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : resting_bp,decision_tree,0,0,0.653448275862069,"{'max_features': None, 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : chest_pain : resting_bp,random_forest,0,0,0.6836781609195401,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 20}",0,0,0,0,0,0
age : chest_pain : cholesterol,linear,0,0,0.16213537358367944,{'normalize': True},0,0,0,0,0,0
age : chest_pain : cholesterol,knn,0,0,0.7542528735632184,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : chest_pain : cholesterol,logistic,0,0,0.7070114942528736,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : chest_pain : cholesterol,gaussian,0,0,0.696896551724138,{},0,0,0,0,0,0
age : chest_pain : cholesterol,svc,0,0,0.7474712643678161,"{'C': 1000, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : cholesterol,decision_tree,0,0,0.6836781609195403,"{'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 1}",0,0,0,0,0,0
age : chest_pain : cholesterol,random_forest,0,0,0.7342528735632184,"{'max_features': 'log2', 'max_leaf_nodes': 15, 'bootstrap': False, 'max_depth': 1}",0,0,0,0,0,0
age : chest_pain : max_hr,linear,0,0,0.22700087092324178,{'normalize': False},0,0,0,0,0,0
age : chest_pain : max_hr,knn,0,0,0.7071264367816091,"{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : chest_pain : max_hr,logistic,0,0,0.7508045977011494,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : chest_pain : max_hr,gaussian,0,0,0.7577011494252873,{},0,0,0,0,0,0
age : chest_pain : max_hr,svc,0,0,0.7540229885057472,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : max_hr,decision_tree,0,0,0.6572413793103448,"{'max_features': 'auto', 'max_leaf_nodes': 5, 'max_depth': 15}",0,0,0,0,0,0
age : chest_pain : max_hr,random_forest,0,0,0.6603448275862068,"{'max_features': 'auto', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,linear,0,0,0.24219297305122495,{'normalize': True},0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,knn,0,0,0.7237931034482759,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,logistic,0,0,0.7471264367816091,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,gaussian,0,0,0.7505747126436784,{},0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,svc,0,0,0.7606896551724138,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,decision_tree,0,0,0.7242528735632184,"{'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}",0,0,0,0,0,0
age : chest_pain : exercise_induced_angina,random_forest,0,0,0.7344827586206897,"{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': False, 'max_depth': 15}",0,0,0,0,0,0
age : chest_pain : st_depression,linear,0,0,0.27094245549186396,{'normalize': True},0,0,0,0,0,0
age : chest_pain : st_depression,knn,0,0,0.7339080459770116,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : chest_pain : st_depression,logistic,0,0,0.7440229885057471,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : chest_pain : st_depression,gaussian,0,0,0.7542528735632185,{},0,0,0,0,0,0
age : chest_pain : st_depression,svc,0,0,0.750919540229885,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : st_depression,decision_tree,0,0,0.7112643678160919,"{'max_features': None, 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : chest_pain : st_depression,random_forest,0,0,0.7442528735632185,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'bootstrap': False, 'max_depth': 15}",0,0,0,0,0,0
age : chest_pain : num_major_vessels,linear,0,0,0.27857820208454426,{'normalize': True},0,0,0,0,0,0
age : chest_pain : num_major_vessels,knn,0,0,0.7645977011494254,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : chest_pain : num_major_vessels,logistic,0,0,0.7508045977011495,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : chest_pain : num_major_vessels,gaussian,0,0,0.7540229885057471,{},0,0,0,0,0,0
age : chest_pain : num_major_vessels,svc,0,0,0.7545977011494254,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : num_major_vessels,decision_tree,0,0,0.7449425287356322,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 25}",0,0,0,0,0,0
age : chest_pain : num_major_vessels,random_forest,0,0,0.7078160919540231,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': False, 'max_depth': 20}",0,0,0,0,0,0
age : chest_pain : thal,linear,0,0,0.3455797625269311,{'normalize': False},0,0,0,0,0,0
age : chest_pain : thal,knn,0,0,0.7911494252873564,"{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : chest_pain : thal,logistic,0,0,0.7841379310344828,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : chest_pain : thal,gaussian,0,0,0.7809195402298851,{},0,0,0,0,0,0
age : chest_pain : thal,svc,0,0,0.7809195402298851,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : chest_pain : thal,decision_tree,0,0,0.7175862068965516,"{'max_features': 'log2', 'max_leaf_nodes': 5, 'max_depth': 20}",0,0,0,0,0,0
age : chest_pain : thal,random_forest,0,0,0.7613793103448275,"{'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : cholesterol,linear,0,0,0.014760062628849779,{'normalize': True},0,0,0,0,0,0
age : resting_bp : cholesterol,knn,0,0,0.5385057471264367,"{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : resting_bp : cholesterol,logistic,0,0,0.5990804597701149,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
