+-----+----------+-------------------+-----------------------------------------------------------------------------------------------+---------------+----+---------+---------------------------------------------------------------------------------------------------------------------+-----------+----------------+--------+-------------+
| AUC | AUC_best |      Accuracy     |                                         Accuracy_best                                         |   Estimator   | F1 | F1_best |                                                       Feature                                                       | Precision | Precision_best | Recall | Recall_best |
+-----+----------+-------------------+-----------------------------------------------------------------------------------------------+---------------+----+---------+---------------------------------------------------------------------------------------------------------------------+-----------+----------------+--------+-------------+
|  0  |    0     |   0.477456828247  |                                      {'normalize': False}                                     |     linear    | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.837816091954  | {'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      knn      | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.828275862069  |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.845057471264  |                                               {}                                              |    gaussian   | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.828045977011  |         {'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}        |      svc      | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.761034482759  |                {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 20}                | decision_tree | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.797931034483  |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': False, 'max_depth': 30}      | random_forest | 0  |    0    |                                                         all                                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.175039642687  |                                      {'normalize': False}                                     |     linear    | 0  |    0    |                                            age : chest_pain : resting_bp                                            |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.713448275862  |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      knn      | 0  |    0    |                                            age : chest_pain : resting_bp                                            |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.703908045977  |                            {'penalty': 'l2', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                            age : chest_pain : resting_bp                                            |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.696781609195  |                                               {}                                              |    gaussian   | 0  |    0    |                                            age : chest_pain : resting_bp                                            |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.750689655172  |       {'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}       |      svc      | 0  |    0    |                                            age : chest_pain : resting_bp                                            |     0     |       0        |   0    |      0      |
