Feature,Estimator,Accuracy,Accuracy_best
age,svc,0.6331034482758621,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : blood_sugar,logistic,0.6293103448275862,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain,svc,0.7541379310344827,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : cholesterol,knn,0.7542528735632184,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : cholesterol : exercise_induced_angina,svc,0.7541379310344828,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : cholesterol : exercise_induced_angina : num_major_vessels,knn,0.8014942528735632,"{'n_neighbors': 60, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : cholesterol : exercise_induced_angina : num_major_vessels : thal,logistic,0.8349425287356322,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : cholesterol : exercise_induced_angina : st_depression,svc,0.7741379310344828,"{'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}"
age : chest_pain : cholesterol : exercise_induced_angina : st_depression : num_major_vessels,knn,0.801264367816092,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}"
age : chest_pain : cholesterol : exercise_induced_angina : st_depression : num_major_vessels : thal,svc,0.8313793103448276,"{'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : exercise_induced_angina : st_depression : thal,gaussian,0.8183908045977011,{}
age : chest_pain : cholesterol : exercise_induced_angina : thal,logistic,0.8183908045977011,"{'penalty': 'l1', 'solver': 'lbfgs'}"
age : chest_pain : cholesterol : max_hr,svc,0.7539080459770114,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina,svc,0.7303448275862069,"{'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : num_major_vessels,logistic,0.7947126436781609,"{'penalty': 'l1', 'solver': 'liblinear'}"
age : chest_pain : cholesterol : max_hr : exercise_induced_angina : num_major_vessels : thal,svc,0.8349425287356322,"{'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}"
