Feature,Estimator,Accuracy,Precision,Recall,F1,AUC,Accuracy_best,Precision_best,Recall_best,F1_best,AUC_best
all,gaussian,0.8282828282828283,0.8282828282828283,0.8282828282828283,0.8282828282828283,0.8282828282828283,{},{},{},{},{}
all,logistic,0.8383838383838383,0.8383838383838383,0.8383838383838383,0.8383838383838383,0.8383838383838383,"{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}"
age,gaussian,0.632996632996633,0.632996632996633,0.632996632996633,0.632996632996633,0.632996632996633,{},{},{},{},{}
age,logistic,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,"{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}"
sex,gaussian,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,{},{},{},{},{}
sex,logistic,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,"{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}"
chest_pain,gaussian,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542,{},{},{},{},{}
chest_pain,logistic,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542,"{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}"
resting_bp,gaussian,0.5589225589225589,0.5589225589225589,0.5589225589225589,0.5589225589225589,0.5589225589225589,{},{},{},{},{}
resting_bp,logistic,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.5353535353535354,"{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}","{'penalty': 'l2', 'solver': 'liblinear'}"
cholesterol,gaussian,0.5084175084175084,0.5084175084175084,0.5084175084175084,0.5084175084175084,0.5084175084175084,{},{},{},{},{}
cholesterol,logistic,0.5252525252525253,0.5252525252525253,0.5252525252525253,0.5252525252525253,0.5252525252525253,"{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}","{'penalty': 'l1', 'solver': 'lbfgs'}"
blood_sugar,gaussian,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,{},{},{},{},{}
blood_sugar,logistic,0.5387205387205387,0.5387205387205387,0.5387205387205387,0.5387205387205387,0.5387205387205387,"{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}"
ecg,gaussian,0.5791245791245792,0.5791245791245792,0.5791245791245792,0.5791245791245792,0.5791245791245792,{},{},{},{},{}
ecg,logistic,0.5791245791245792,0.5791245791245792,0.5791245791245792,0.5791245791245792,0.5791245791245792,"{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}","{'penalty': 'l1', 'solver': 'liblinear'}"
max_hr,gaussian,0.6868686868686869,0.6868686868686869,0.6868686868686869,0.6868686868686869,0.6868686868686869,{},{},{},{},{}
