+-------------------------+-----------+----------------+----------------+-----------------+-----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|         Feature         | Estimator |    Accuracy    |   Precision    |      Recall     |        F1       |      AUC       |              Accuracy_best               |              Precision_best              |               Recall_best                |                 F1_best                  |                 AUC_best                 |
+-------------------------+-----------+----------------+----------------+-----------------+-----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|           all           |  gaussian | 0.828282828283 | 0.827857417229 |   0.8026415524  |  0.810966737199 | 0.893664615856 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           all           |  logistic | 0.838383838384 | 0.856889530223 |  0.788062590478 |  0.81734389348  | 0.899063125405 | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |   {'penalty': 'l2', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'newton-cg'} |
|           age           |  gaussian | 0.632996632997 | 0.593159725179 |  0.649524227785 |  0.619816504231 | 0.628662990819 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           age           |  logistic | 0.626262626263 | 0.618853649157 |  0.565362803548 |  0.564534231201 | 0.639607976789 |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'newton-cg'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'liblinear'} |
|           sex           |  gaussian | 0.616161616162 | 0.55988227571  |  0.81753932237  |  0.663346587651 | 0.630491891643 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           sex           |  logistic | 0.616161616162 | 0.55988227571  |   0.8479714992  |  0.663346587651 | 0.630491891643 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |   {'penalty': 'l2', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|        chest_pain       |  gaussian | 0.754208754209 | 0.726407594463 |  0.751796548415 |  0.738526249165 | 0.749862979239 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|        chest_pain       |  logistic | 0.754208754209 | 0.726407594463 |  0.751796548415 |  0.746401182963 | 0.779756822156 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'newton-cg'} | {'penalty': 'l2', 'solver': 'liblinear'} |
|        resting_bp       |  gaussian | 0.558922558923 | 0.584397733521 |  0.226304917126 |  0.321928934217 | 0.517705324751 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|        resting_bp       |  logistic | 0.535353535354 | 0.554041294782 |  0.256246848517 |  0.303951353013 | 0.61617055133  | {'penalty': 'l2', 'solver': 'liblinear'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'newton-cg'} |
|       cholesterol       |  gaussian | 0.508417508418 | 0.283693415638 |  0.183158476878 |  0.222113203433 | 0.415423336761 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|       cholesterol       |  logistic | 0.525252525253 | 0.298284431618 |  0.13087101934  |  0.167448950534 | 0.422208006168 |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l2', 'solver': 'newton-cg'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l2', 'solver': 'lbfgs'}   |
|       blood_sugar       |  gaussian | 0.515151515152 | 0.262833462833 | 0.0945688771776 |  0.137875934486 | 0.46828244568  |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|       blood_sugar       |  logistic | 0.538720538721 | 0.133333333333 | 0.0579710144928 | 0.0808080808081 | 0.47492428002  | {'penalty': 'l1', 'solver': 'liblinear'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'liblinear'} |
|           ecg           |  gaussian | 0.579124579125 | 0.537821443723 |  0.576271572407 |  0.549269190807 | 0.584343142788 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           ecg           |  logistic | 0.579124579125 | 0.537821443723 |  0.681256361786 |  0.549269190807 | 0.584343142788 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'newton-cg'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|          max_hr         |  gaussian | 0.686868686869 | 0.726302858879 |  0.52548349843  |  0.600054785891 | 0.745770258925 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
