Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
all	gaussian	0.8222222222222222	0.8333333333333334	0.7954545454545454	0.8139534883720929	0.8216403162055336	{}	{}	{}	{}	{}
all	logistic	0.8888888888888888	0.9047619047619048	0.8636363636363636	0.8837209302325582	0.8883399209486167	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'newton-cg'}	{'penalty': 'l1', 'solver': 'lbfgs'}
age	gaussian	0.6444444444444445	0.5957446808510638	0.6829268292682927	0.6363636363636364	0.6475858636137383	{}	{}	{}	{}	{}
age	logistic	0.6555555555555556	0.6190476190476191	0.6341463414634146	0.6265060240963854	0.6538078646092584	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
sex	gaussian	0.6444444444444445	0.5789473684210527	0.8048780487804879	0.6734693877551021	0.6575410652065705	{}	{}	{}	{}	{}
sex	logistic	0.6444444444444445	0.5789473684210527	0.8048780487804879	0.6734693877551021	0.6575410652065705	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
chest_pain	gaussian	0.7555555555555555	0.6904761904761905	0.7631578947368421	0.725	0.756578947368421	{}	{}	{}	{}	{}
chest_pain	logistic	0.7555555555555555	0.6904761904761905	0.7631578947368421	0.725	0.756578947368421	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'newton-cg'}
resting_bp	gaussian	0.5777777777777777	0.6190476190476191	0.3023255813953488	0.40625	0.566056407718951	{}	{}	{}	{}	{}
resting_bp	logistic	0.5888888888888889	0.6363636363636364	0.32558139534883723	0.4307692307692308	0.5776843146956953	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'newton-cg'}	{'penalty': 'l1', 'solver': 'newton-cg'}
cholesterol	gaussian	0.5555555555555556	0.55	0.2619047619047619	0.3548387096774194	0.5372023809523809	{}	{}	{}	{}	{}
cholesterol	logistic	0.5555555555555556	0.55	0.2619047619047619	0.3548387096774194	0.5372023809523809	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'newton-cg'}	{'penalty': 'l1', 'solver': 'liblinear'}
blood_sugar	gaussian	0.5444444444444444	0.0	0.0	0.0	0.5	{}	{}	{}	{}	{}
blood_sugar	logistic	0.5444444444444444	0.0	0.0	0.0	0.5	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l2', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'lbfgs'}
ecg	gaussian	0.5444444444444444	0.45652173913043476	0.5675675675675675	0.506024096385542	0.5479347271800101	{}	{}	{}	{}	{}
ecg	logistic	0.5444444444444444	0.45652173913043476	0.5675675675675675	0.506024096385542	0.5479347271800101	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
max_hr	gaussian	0.6555555555555556	0.6551724137931034	0.475	0.5507246376811594	0.6375000000000001	{}	{}	{}	{}	{}
