+-------------------------+-----------+----------------+----------------+----------------+----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|         Feature         | Estimator |    Accuracy    |   Precision    |     Recall     |       F1       |      AUC       |              Accuracy_best               |              Precision_best              |               Recall_best                |                 F1_best                  |                 AUC_best                 |
+-------------------------+-----------+----------------+----------------+----------------+----------------+----------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+------------------------------------------+
|           all           |  gaussian | 0.822222222222 | 0.833333333333 | 0.795454545455 | 0.813953488372 | 0.821640316206 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           all           |  logistic | 0.888888888889 | 0.904761904762 | 0.863636363636 | 0.883720930233 | 0.888339920949 | {'penalty': 'l1', 'solver': 'liblinear'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   |   {'penalty': 'l1', 'solver': 'lbfgs'}   | {'penalty': 'l1', 'solver': 'newton-cg'} |   {'penalty': 'l1', 'solver': 'lbfgs'}   |
|           age           |  gaussian | 0.644444444444 | 0.595744680851 | 0.682926829268 | 0.636363636364 | 0.647585863614 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           age           |  logistic | 0.655555555556 | 0.619047619048 | 0.634146341463 | 0.626506024096 | 0.653807864609 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l2', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|           sex           |  gaussian | 0.644444444444 | 0.578947368421 | 0.80487804878  | 0.673469387755 | 0.657541065207 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|           sex           |  logistic | 0.644444444444 | 0.578947368421 | 0.80487804878  | 0.673469387755 | 0.657541065207 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} |
|        chest_pain       |  gaussian | 0.755555555556 | 0.690476190476 | 0.763157894737 |     0.725      | 0.756578947368 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
|        chest_pain       |  logistic | 0.755555555556 | 0.690476190476 | 0.763157894737 |     0.725      | 0.756578947368 | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'liblinear'} | {'penalty': 'l1', 'solver': 'newton-cg'} |
|        resting_bp       |  gaussian | 0.577777777778 | 0.619047619048 | 0.302325581395 |    0.40625     | 0.566056407719 |                    {}                    |                    {}                    |                    {}                    |                    {}                    |                    {}                    |
