Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
multi	linear	0.4529176361874149	0.0	0.0	0.0	0.0	{'normalize': False}	{}	{}	{}	{}
multi	knn	0.7205387205387206	0.0	0.0	0.0	0.0	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	0	0	0	0
multi	logistic	0.8417508417508418	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'lbfgs'}	0	0	0	0
multi	gaussian	0.8451178451178452	0.0	0.0	0.0	0.0	{}	0	0	0	0
multi	svc	0.8114478114478114	0.0	0.0	0.0	0.0	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	0	0	0	0
multi	decision_tree	0.8047138047138047	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 25}	0	0	0	0
multi	random_forest	0.8552188552188552	0.0	0.0	0.0	0.0	{'max_features': 'log2', 'max_leaf_nodes': 10, 'bootstrap': False, 'max_depth': 5}	0	0	0	0
age	linear	0.0744368112382171	0.0	0.0	0.0	0.0	{'normalize': True}	{}	{}	{}	{}
age	knn	0.632996632996633	0.0	0.0	0.0	0.0	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}	0	0	0	0
age	logistic	0.622895622895623	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'lbfgs'}	0	0	0	0
age	gaussian	0.6195286195286195	0.0	0.0	0.0	0.0	{}	0	0	0	0
age	svc	0.6363636363636364	0.0	0.0	0.0	0.0	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	0	0	0	0
age	decision_tree	0.632996632996633	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	0	0	0	0
age	random_forest	0.6430976430976431	0.0	0.0	0.0	0.0	{'max_features': None, 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 10}	0	0	0	0
sex	linear	0.0721886938597478	0.0	0.0	0.0	0.0	{'normalize': False}	{}	{}	{}	{}
sex	knn	0.6161616161616161	0.0	0.0	0.0	0.0	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	0	0	0	0
sex	logistic	0.6161616161616161	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'liblinear'}	0	0	0	0
sex	gaussian	0.6161616161616161	0.0	0.0	0.0	0.0	{}	0	0	0	0
sex	svc	0.6161616161616161	0.0	0.0	0.0	0.0	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	0	0	0	0
sex	decision_tree	0.6161616161616161	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	0	0	0	0
sex	random_forest	0.6161616161616161	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	0	0	0	0
chest_pain	linear	-0.12006294789669969	0.0	0.0	0.0	0.0	{'normalize': False}	{}	{}	{}	{}
chest_pain	knn	0.7542087542087542	0.0	0.0	0.0	0.0	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	0	0	0	0
chest_pain	logistic	0.7542087542087542	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'liblinear'}	0	0	0	0
chest_pain	gaussian	0.7542087542087542	0.0	0.0	0.0	0.0	{}	0	0	0	0
chest_pain	svc	0.7542087542087542	0.0	0.0	0.0	0.0	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	0	0	0	0
chest_pain	decision_tree	0.7542087542087542	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	0	0	0	0
chest_pain	random_forest	0.7542087542087542	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	0	0	0	0
resting_bp	linear	0.01663941979419603	0.0	0.0	0.0	0.0	{'normalize': False}	{}	{}	{}	{}
resting_bp	knn	0.5993265993265994	0.0	0.0	0.0	0.0	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}	0	0	0	0
resting_bp	logistic	0.569023569023569	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'lbfgs'}	0	0	0	0
resting_bp	gaussian	0.5723905723905723	0.0	0.0	0.0	0.0	{}	0	0	0	0
resting_bp	svc	0.5589225589225589	0.0	0.0	0.0	0.0	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	0	0	0	0
resting_bp	decision_tree	0.5488215488215489	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}	0	0	0	0
resting_bp	random_forest	0.5824915824915825	0.0	0.0	0.0	0.0	{'max_features': None, 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 25}	0	0	0	0
cholesterol	linear	-0.08182215825788153	0.0	0.0	0.0	0.0	{'normalize': True}	{}	{}	{}	{}
cholesterol	knn	0.569023569023569	0.0	0.0	0.0	0.0	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	0	0	0	0
cholesterol	logistic	0.5454545454545454	0.0	0.0	0.0	0.0	{'penalty': 'l2', 'solver': 'liblinear'}	0	0	0	0
cholesterol	gaussian	0.5117845117845118	0.0	0.0	0.0	0.0	{}	0	0	0	0
cholesterol	svc	0.5757575757575758	0.0	0.0	0.0	0.0	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	0	0	0	0
cholesterol	decision_tree	0.5589225589225589	0.0	0.0	0.0	0.0	{'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}	0	0	0	0
cholesterol	random_forest	0.6026936026936027	0.0	0.0	0.0	0.0	{'max_features': 'log2', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 25}	0	0	0	0
blood_sugar	linear	-0.059368064890658045	0.0	0.0	0.0	0.0	{'normalize': False}	{}	{}	{}	{}
blood_sugar	knn	0.5387205387205387	0.0	0.0	0.0	0.0	{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1}	0	0	0	0
blood_sugar	logistic	0.5387205387205387	0.0	0.0	0.0	0.0	{'penalty': 'l1', 'solver': 'liblinear'}	0	0	0	0
blood_sugar	gaussian	0.5016835016835017	0.0	0.0	0.0	0.0	{}	0	0	0	0
