Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
multi	linear	0.4220449814472481	0.0	0.0	0.0	0.0	{'normalize': True}	0.0	0.0	0.0	0.0
multi	knn	0.7205387205387206	0.7205387205387206	0.7205387205387206	0.7205387205387206	0.7205387205387206	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}
multi	logistic	0.8417508417508418	0.8417508417508418	0.8417508417508418	0.8417508417508418	0.8417508417508418	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}
multi	gaussian	0.8451178451178452	0.8451178451178452	0.8451178451178452	0.8451178451178452	0.8451178451178452	{}	{}	{}	{}	{}
multi	svc	0.8114478114478114	0.8114478114478114	0.8114478114478114	0.8114478114478114	0.8114478114478114	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 100, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}
multi	decision_tree	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.8181818181818182	{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}	{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}	{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}	{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}	{'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 25}
multi	random_forest	0.8585858585858586	0.8585858585858586	0.8585858585858586	0.8585858585858586	0.8585858585858586	{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}	{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}	{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}	{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}	{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 30}
age	linear	0.07265056239554823	0.0	0.0	0.0	0.0	{'normalize': False}	0.0	0.0	0.0	0.0
age	knn	0.632996632996633	0.632996632996633	0.632996632996633	0.632996632996633	0.632996632996633	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'ball_tree', 'p': 1}
age	logistic	0.622895622895623	0.622895622895623	0.622895622895623	0.622895622895623	0.622895622895623	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}
age	gaussian	0.6195286195286195	0.6195286195286195	0.6195286195286195	0.6195286195286195	0.6195286195286195	{}	{}	{}	{}	{}
age	svc	0.6363636363636364	0.6363636363636364	0.6363636363636364	0.6363636363636364	0.6363636363636364	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}
age	decision_tree	0.632996632996633	0.632996632996633	0.632996632996633	0.632996632996633	0.632996632996633	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}
age	random_forest	0.6464646464646465	0.6464646464646465	0.6464646464646465	0.6464646464646465	0.6464646464646465	{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}	{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}	{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}	{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}	{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}
sex	linear	0.04053504587712253	0.0	0.0	0.0	0.0	{'normalize': True}	0.0	0.0	0.0	0.0
sex	knn	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}
sex	logistic	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
sex	gaussian	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{}	{}	{}	{}	{}
sex	svc	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}
sex	decision_tree	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}
sex	random_forest	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	0.6161616161616161	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}
chest_pain	linear	-0.018956209373274913	0.0	0.0	0.0	0.0	{'normalize': True}	0.0	0.0	0.0	0.0
chest_pain	knn	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}
chest_pain	logistic	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
chest_pain	gaussian	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	0.7542087542087542	{}	{}	{}	{}	{}
