Feature,Estimator,Accuracy,Precision,Recall,F1,AUC,Accuracy_best,Precision_best,Recall_best,F1_best,AUC_best
all,linear,0.4007773030237871,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
all,knn,0.7541379310344828,0.0,0.0,0.0,0.0,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0.0,0.0,0.0,0.0
all,logistic,0.7977011494252874,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0
all,gaussian,0.7942528735632184,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
all,svc,0.7775862068965518,0.0,0.0,0.0,0.0,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
all,decision_tree,0.693448275862069,0.0,0.0,0.0,0.0,"{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'max_depth': 10}",0.0,0.0,0.0,0.0
all,random_forest,0.7610344827586207,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}",0.0,0.0,0.0,0.0
age,linear,0.02178106276942444,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
age,knn,0.528735632183908,0.0,0.0,0.0,0.0,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
age,logistic,0.6225287356321838,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
age,gaussian,0.6195402298850574,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
age,svc,0.6331034482758621,0.0,0.0,0.0,0.0,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
age,decision_tree,0.5958620689655173,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0.0,0.0,0.0,0.0
age,random_forest,0.5860919540229885,0.0,0.0,0.0,0.0,"{'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}",0.0,0.0,0.0,0.0
chest_pain,linear,0.13485459965651064,0.0,0.0,0.0,0.0,{'normalize': False},0.0,0.0,0.0,0.0
chest_pain,knn,0.7008045977011494,0.0,0.0,0.0,0.0,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
chest_pain,logistic,0.7541379310344827,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
chest_pain,gaussian,0.7541379310344827,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
chest_pain,svc,0.7541379310344827,0.0,0.0,0.0,0.0,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 3, 'probability': True}",0.0,0.0,0.0,0.0
chest_pain,decision_tree,0.7541379310344827,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0.0,0.0,0.0,0.0
chest_pain,random_forest,0.7541379310344827,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}",0.0,0.0,0.0,0.0
resting_bp,linear,-0.01271531316394231,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
resting_bp,knn,0.4980459770114942,0.0,0.0,0.0,0.0,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
resting_bp,logistic,0.5693103448275861,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
resting_bp,gaussian,0.5724137931034482,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
resting_bp,svc,0.5555172413793104,0.0,0.0,0.0,0.0,"{'C': 10, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
resting_bp,decision_tree,0.5088505747126437,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0.0,0.0,0.0,0.0
resting_bp,random_forest,0.5083908045977011,0.0,0.0,0.0,0.0,"{'max_features': 'sqrt', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 30}",0.0,0.0,0.0,0.0
cholesterol,linear,-0.028336980586639395,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
cholesterol,knn,0.5920689655172413,0.0,0.0,0.0,0.0,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
cholesterol,logistic,0.522183908045977,0.0,0.0,0.0,0.0,"{'penalty': 'l2', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
cholesterol,gaussian,0.5117241379310344,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
cholesterol,svc,0.5616091954022988,0.0,0.0,0.0,0.0,"{'C': 1, 'shrinking': False, 'gamma': 0.0, 'degree': 3, 'probability': True}",0.0,0.0,0.0,0.0
cholesterol,decision_tree,0.5490804597701149,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 25, 'max_depth': 10}",0.0,0.0,0.0,0.0
cholesterol,random_forest,0.5522988505747126,0.0,0.0,0.0,0.0,"{'max_features': None, 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}",0.0,0.0,0.0,0.0
ecg,linear,-0.009247146155620256,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
ecg,knn,0.5288505747126437,0.0,0.0,0.0,0.0,"{'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
ecg,logistic,0.5789655172413793,0.0,0.0,0.0,0.0,"{'penalty': 'l2', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0
ecg,gaussian,0.5789655172413793,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
ecg,svc,0.5858620689655172,0.0,0.0,0.0,0.0,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
ecg,decision_tree,0.5858620689655172,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0.0,0.0,0.0,0.0
ecg,random_forest,0.5824137931034483,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 1}",0.0,0.0,0.0,0.0
max_hr,linear,0.14948108420308773,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
max_hr,knn,0.6166666666666666,0.0,0.0,0.0,0.0,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
max_hr,logistic,0.7106896551724138,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
max_hr,gaussian,0.6901149425287356,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
max_hr,svc,0.7106896551724138,0.0,0.0,0.0,0.0,"{'C': 1000, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
max_hr,decision_tree,0.613103448275862,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0.0,0.0,0.0,0.0
max_hr,random_forest,0.5997701149425287,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 10}",0.0,0.0,0.0,0.0
st_depression,linear,0.15324006353005587,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
st_depression,knn,0.6768965517241379,0.0,0.0,0.0,0.0,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
