+---------------+---------------+-------------------+-----------+--------+-----+-----+-----------------------------------------------------------------------------------------------+----------------+-------------+---------+----------+
|    Feature    |   Estimator   |      Accuracy     | Precision | Recall |  F1 | AUC |                                         Accuracy_best                                         | Precision_best | Recall_best | F1_best | AUC_best |
+---------------+---------------+-------------------+-----------+--------+-----+-----+-----------------------------------------------------------------------------------------------+----------------+-------------+---------+----------+
|      all      |     linear    |   0.400777303024  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      |      knn      |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      |    logistic   |   0.797701149425  |    0.0    |  0.0   | 0.0 | 0.0 |                              {'penalty': 'l1', 'solver': 'lbfgs'}                             |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      |    gaussian   |   0.794252873563  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      |      svc      |   0.777586206897  |    0.0    |  0.0   | 0.0 | 0.0 |         {'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}        |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      | decision_tree |   0.693448275862  |    0.0    |  0.0   | 0.0 | 0.0 |                {'max_features': 'sqrt', 'max_leaf_nodes': 20, 'max_depth': 10}                |      0.0       |     0.0     |   0.0   |   0.0    |
|      all      | random_forest |   0.761034482759  |    0.0    |  0.0   | 0.0 | 0.0 |       {'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}       |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      |     linear    |  0.0217810627694  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      |      knn      |   0.528735632184  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      |    logistic   |   0.622528735632  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      |    gaussian   |   0.619540229885  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      |      svc      |   0.633103448276  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}          |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      | decision_tree |   0.595862068966  |    0.0    |  0.0   | 0.0 | 0.0 |                 {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |      0.0       |     0.0     |   0.0   |   0.0    |
|      age      | random_forest |   0.586091954023  |    0.0    |  0.0   | 0.0 | 0.0 |        {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  |     linear    |   0.134854599657  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': False}                                     |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  |      knn      |   0.700804597701  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  |    logistic   |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  |    gaussian   |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  |      svc      |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 1, 'shrinking': True, 'degree': 3, 'gamma': 0.0, 'probability': True}          |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  | decision_tree |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |                 {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |      0.0       |     0.0     |   0.0   |   0.0    |
|   chest_pain  | random_forest |   0.754137931034  |    0.0    |  0.0   | 0.0 | 0.0 |        {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  |     linear    |  -0.0127153131639 |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  |      knn      |   0.498045977011  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 20, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  |    logistic   |   0.569310344828  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  |    gaussian   |   0.572413793103  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  |      svc      |   0.555517241379  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}         |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  | decision_tree |   0.508850574713  |    0.0    |  0.0   | 0.0 | 0.0 |                 {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |      0.0       |     0.0     |   0.0   |   0.0    |
|   resting_bp  | random_forest |   0.508390804598  |    0.0    |  0.0   | 0.0 | 0.0 |       {'max_features': 'sqrt', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 30}       |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  |     linear    |  -0.0283369805866 |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  |      knn      |   0.592068965517  |    0.0    |  0.0   | 0.0 | 0.0 | {'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  |    logistic   |   0.522183908046  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l2', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  |    gaussian   |   0.511724137931  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  |      svc      |   0.561609195402  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 1, 'shrinking': False, 'degree': 3, 'gamma': 0.0, 'probability': True}         |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  | decision_tree |   0.54908045977   |    0.0    |  0.0   | 0.0 | 0.0 |                {'max_features': 'auto', 'max_leaf_nodes': 25, 'max_depth': 10}                |      0.0       |     0.0     |   0.0   |   0.0    |
|  cholesterol  | random_forest |   0.552298850575  |    0.0    |  0.0   | 0.0 | 0.0 |        {'max_features': None, 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}        |      0.0       |     0.0     |   0.0   |   0.0    |
