+-----+----------+--------------------+-----------------------------------------------------------------------------------------------+---------------+----+---------+-----------------------------------------------------------------------------------------------------------------------------+-----------+----------------+--------+-------------+
| AUC | AUC_best |      Accuracy      |                                         Accuracy_best                                         |   Estimator   | F1 | F1_best |                                                           Feature                                                           | Precision | Precision_best | Recall | Recall_best |
+-----+----------+--------------------+-----------------------------------------------------------------------------------------------+---------------+----+---------+-----------------------------------------------------------------------------------------------------------------------------+-----------+----------------+--------+-------------+
|  0  |    0     |   0.171670372649   |                                      {'normalize': False}                                     |     linear    | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.668825161887   | {'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      knn      | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.718547641073   |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.710037002775   |                                               {}                                              |    gaussian   | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.720906567993   |          {'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}          |      svc      | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.618963922294   |                 {'max_features': 'log2', 'max_leaf_nodes': 20, 'max_depth': 1}                | decision_tree | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.675531914894   |       {'max_features': 'sqrt', 'max_leaf_nodes': 25, 'bootstrap': False, 'max_depth': 1}      | random_forest | 0  |    0    |                                                             all                                                             |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.111049664284   |                                      {'normalize': False}                                     |     linear    | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.690471785384   | {'n_neighbors': 50, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      knn      | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.701341350601   |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.725069380204   |                                               {}                                              |    gaussian   | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.701248843663   |       {'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}       |      svc      | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.616790009251   |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 25}                | decision_tree | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.659851988899   |       {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 5}       | random_forest | 0  |    0    |                                         systolic_bp : tobacco_use : ldl_cholesterol                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |  0.0847738820406   |                                      {'normalize': False}                                     |     linear    | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.636308973173   | {'n_neighbors': 10, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      knn      | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.686077705828   |                            {'penalty': 'l2', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.694588344126   |                                               {}                                              |    gaussian   | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.670906567993   |        {'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}       |      svc      | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.554486586494   |                 {'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 5}                 | decision_tree | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.664616096207   |       {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 15}      | random_forest | 0  |    0    |                                       systolic_bp : tobacco_use : abdominal_adiposity                                       |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.121282438905   |                                      {'normalize': True}                                      |     linear    | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.677382053654   |  {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      knn      | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.707909343201   |                            {'penalty': 'l2', 'solver': 'liblinear'}                           |    logistic   | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.690518038853   |                                               {}                                              |    gaussian   | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.686123959297   |          {'C': 10, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}         |      svc      | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.636540240518   |                {'max_features': 'log2', 'max_leaf_nodes': 10, 'max_depth': 20}                | decision_tree | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
|  0  |    0     |   0.636262719704   |       {'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 10}       | random_forest | 0  |    0    |                                          systolic_bp : tobacco_use : family_history                                         |     0     |       0        |   0    |      0      |
