Feature,Estimator,Accuracy,Precision,Recall,F1,AUC,Accuracy_best,Precision_best,Recall_best,F1_best,AUC_best
all,linear,0.46282487787553517,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
all,knn,0.7944827586206897,0.0,0.0,0.0,0.0,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0.0,0.0,0.0,0.0
all,logistic,0.8448275862068966,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0
all,gaussian,0.8414942528735633,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
all,svc,0.8144827586206898,0.0,0.0,0.0,0.0,"{'C': 1000, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
all,decision_tree,0.7442528735632183,0.0,0.0,0.0,0.0,"{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'max_depth': 25}",0.0,0.0,0.0,0.0
all,random_forest,0.80816091954023,0.0,0.0,0.0,0.0,"{'max_features': 'log2', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 10}",0.0,0.0,0.0,0.0
cholesterol,linear,-0.028336980586639395,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
cholesterol,knn,0.5920689655172413,0.0,0.0,0.0,0.0,"{'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0.0,0.0,0.0,0.0
cholesterol,logistic,0.522183908045977,0.0,0.0,0.0,0.0,"{'penalty': 'l1', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0
cholesterol,gaussian,0.5117241379310344,0.0,0.0,0.0,0.0,{},0.0,0.0,0.0,0.0
cholesterol,svc,0.5616091954022988,0.0,0.0,0.0,0.0,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0.0,0.0,0.0,0.0
cholesterol,decision_tree,0.5490804597701149,0.0,0.0,0.0,0.0,"{'max_features': 'auto', 'max_leaf_nodes': 25, 'max_depth': 15}",0.0,0.0,0.0,0.0
cholesterol,random_forest,0.5893103448275863,0.0,0.0,0.0,0.0,"{'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 30}",0.0,0.0,0.0,0.0
resting_bp,linear,-0.01271531316394231,0.0,0.0,0.0,0.0,{'normalize': True},0.0,0.0,0.0,0.0
