+-------------------------+---------------+------------------+-----------+--------+-----+-----+-----------------------------------------------------------------------------------------------+----------------+-------------+---------+----------+
|         Feature         |   Estimator   |     Accuracy     | Precision | Recall |  F1 | AUC |                                         Accuracy_best                                         | Precision_best | Recall_best | F1_best | AUC_best |
+-------------------------+---------------+------------------+-----------+--------+-----+-----+-----------------------------------------------------------------------------------------------+----------------+-------------+---------+----------+
|           all           |     linear    |  0.462824877876  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           |      knn      |  0.794482758621  |    0.0    |  0.0   | 0.0 | 0.0 | {'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2} |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           |    logistic   |  0.844827586207  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           |    gaussian   |  0.841494252874  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           |      svc      |  0.814482758621  |    0.0    |  0.0   | 0.0 | 0.0 |        {'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}       |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           | decision_tree |  0.744252873563  |    0.0    |  0.0   | 0.0 | 0.0 |                {'max_features': 'sqrt', 'max_leaf_nodes': 10, 'max_depth': 25}                |      0.0       |     0.0     |   0.0   |   0.0    |
|           all           | random_forest |  0.80816091954   |    0.0    |  0.0   | 0.0 | 0.0 |       {'max_features': 'log2', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 10}      |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       |     linear    | -0.0283369805866 |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       |      knn      |  0.592068965517  |    0.0    |  0.0   | 0.0 | 0.0 | {'n_neighbors': 20, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       |    logistic   |  0.522183908046  |    0.0    |  0.0   | 0.0 | 0.0 |                              {'penalty': 'l1', 'solver': 'lbfgs'}                             |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       |    gaussian   |  0.511724137931  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       |      svc      |  0.561609195402  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}          |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       | decision_tree |  0.54908045977   |    0.0    |  0.0   | 0.0 | 0.0 |                {'max_features': 'auto', 'max_leaf_nodes': 25, 'max_depth': 15}                |      0.0       |     0.0     |   0.0   |   0.0    |
|       cholesterol       | random_forest |  0.589310344828  |    0.0    |  0.0   | 0.0 | 0.0 |        {'max_features': None, 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 30}        |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       |     linear    | -0.0127153131639 |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       |      knn      |  0.498045977011  |    0.0    |  0.0   | 0.0 | 0.0 |    {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       |    logistic   |  0.569310344828  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       |    gaussian   |  0.572413793103  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       |      svc      |  0.555517241379  |    0.0    |  0.0   | 0.0 | 0.0 |        {'C': 100, 'shrinking': True, 'degree': 1, 'gamma': 0.001, 'probability': True}        |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       | decision_tree |  0.508850574713  |    0.0    |  0.0   | 0.0 | 0.0 |                 {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |      0.0       |     0.0     |   0.0   |   0.0    |
|        resting_bp       | random_forest |  0.515402298851  |    0.0    |  0.0   | 0.0 | 0.0 |       {'max_features': 'log2', 'max_leaf_nodes': 5, 'bootstrap': True, 'max_depth': 25}       |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      |     linear    |  0.15324006353   |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': False}                                     |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      |      knn      |  0.676896551724  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      |    logistic   |  0.677011494253  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      |    gaussian   |  0.677011494253  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      |      svc      |  0.670114942529  |    0.0    |  0.0   | 0.0 | 0.0 |       {'C': 1000, 'shrinking': True, 'degree': 1, 'gamma': 0.0001, 'probability': True}       |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      | decision_tree |  0.683908045977  |    0.0    |  0.0   | 0.0 | 0.0 |                 {'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 1}                |      0.0       |     0.0     |   0.0   |   0.0    |
|      st_depression      | random_forest |  0.697356321839  |    0.0    |  0.0   | 0.0 | 0.0 |       {'max_features': 'log2', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}       |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           |     linear    | 0.0217810627694  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': True}                                      |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           |      knn      |  0.528735632184  |    0.0    |  0.0   | 0.0 | 0.0 |    {'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 2}   |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           |    logistic   |  0.622528735632  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           |    gaussian   |  0.619540229885  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           |      svc      |  0.633103448276  |    0.0    |  0.0   | 0.0 | 0.0 |          {'C': 1, 'shrinking': True, 'degree': 1, 'gamma': 0.0, 'probability': True}          |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           | decision_tree |  0.595862068966  |    0.0    |  0.0   | 0.0 | 0.0 |                {'max_features': 'auto', 'max_leaf_nodes': 15, 'max_depth': 10}                |      0.0       |     0.0     |   0.0   |   0.0    |
|           age           | random_forest |  0.589540229885  |    0.0    |  0.0   | 0.0 | 0.0 |        {'max_features': None, 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 20}        |      0.0       |     0.0     |   0.0   |   0.0    |
|          max_hr         |     linear    |  0.149481084203  |    0.0    |  0.0   | 0.0 | 0.0 |                                      {'normalize': False}                                     |      0.0       |     0.0     |   0.0   |   0.0    |
|          max_hr         |      knn      |  0.616666666667  |    0.0    |  0.0   | 0.0 | 0.0 |  {'n_neighbors': 60, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |      0.0       |     0.0     |   0.0   |   0.0    |
|          max_hr         |    logistic   |  0.710689655172  |    0.0    |  0.0   | 0.0 | 0.0 |                            {'penalty': 'l1', 'solver': 'liblinear'}                           |      0.0       |     0.0     |   0.0   |   0.0    |
|          max_hr         |    gaussian   |  0.690114942529  |    0.0    |  0.0   | 0.0 | 0.0 |                                               {}                                              |      0.0       |     0.0     |   0.0   |   0.0    |
